section,category,title,source,date,summary,image,link,tags
BIO,Intro,"Oscar Manuel Heller",,,"Writer and editor finishing a B.A. in English at Yale. I report, edit, and tell stories across investigations, culture, sports, and politics.",,,
BIO,Field,"College",,,"Yale University — Ezra Stiles College",,,
BIO,Field,"Study",,,"B.A. in English, with certificate study in Medieval Studies",,,
BIO,Field,"Class",,,"Class of 2026",,,
BIO,Field,"Now",,,"Editor-in-Chief, The Yale Herald",,,
BIO,Field,"Hometown",,,"Pittsburgh, Pennsylvania",,,
CURRENT,Status,"Currently",,,"Graduating in 2026 and looking for editorial, reporting, and writing roles. Available for freelance.",,,
CURRENT,Investigative,"Lighting Up in the Land of Steady Habits","The New Journal",2026-05-08,"An investigation into New Haven's unlicensed cannabis market: a sample sent to a state lab came back with mold hundreds of times over the legal limit, tracing how Connecticut's tax and licensing rules push students toward untested weed.","https://thenewjournalatyale.com/wp-content/uploads/2026/05/DSCF1900-1800x1200.jpg","https://thenewjournalatyale.com/2026/05/lighting-up-in-the-land-of-steady-habits/","cannabis, investigation, public health, New Haven"
CURRENT,Culture and Sports,"In a conference not known for athletics, Yale men's basketball is making a name for itself","Yale Daily News",2024-11-05,"A long-form look at how Yale men's basketball built a winner inside a conference that rarely draws attention, and what NIL money and the transfer portal mean for Ivy League programs.","yale_basketball.png","https://yaledailynews.com/blog/2024/11/05/in-a-conference-not-known-for-athletics-yale-mens-basketball-is-making-a-name-for-itself/","basketball, Ivy League, NIL, sports"
CURRENT,Culture and Sports,"Books, Addiction, and the Humanities","The Yale Herald",2024-02-19,"A Teach(Ed) column on reading, addiction, and why the humanities still turn on the hard question of how to live.","","https://yale-herald.com/2024/02/19/books-addiction-and-the-humanities/","essay, humanities, column"
CURRENT,Politics,"Ghosts of Colonialism: Unrest and Political Identity in Peru","The Politic",2023-05-03,"A reported feature on political unrest and identity in Peru, told through the memories of a Peruvian emigre and the long shadow of colonialism.","https://thepolitic.org/wp-content/uploads/2023/05/Cusco-paro-2.jpg","https://thepolitic.org/ghosts-of-colonialism-unrest-and-political-identity-in-peru/","Peru, politics, colonialism"
MISC,Column,"Teach(Ed) — my Yale Herald column","The Yale Herald",,"A biweekly column on teaching and being taught.","","https://yale-herald.com/tag/oscar-heller/","column, teaching"
MISC,Reading,"Add a book you love",,,"Swap in a title and one line on why it stays with you.","","#","placeholder"
MISC,Watch,"Add a clip or video",,,"Link a short video, talk, or reel you want people to see.","","#","placeholder"
